Food_group_code,Food_group,Code,Food_name,Edible_conversion_factor,Energy_in_kJ,Energy_in_kcal,Water_in_g,Protein_in_g,Fat_in_g,Carbohydrate_available_in_g,Fibre_in_g,Ash_in_g,Ca_in_mg,Fe_in_mg,Mg_in_mg,P_in_mg,K_in_mg,Na_in_mg,Zn_in_mg,Se_in_mg,Vit_A_RAE_in_mcg,Vit_A_RE_in_mcg,Retinol_in_mcg,Beta_carotene_equivalent_in_mcg,Thiamin_in_mcg,Riboflavin_in_mcg,Niacin_in_mcg,Dietary_Folate_Eq_in_mcg,Food_folate_in_mcg,Vit_B12_in_mcg,Vit_C_in_mcg,Cholesterol_in_mg,Dish_group_code,Dish_group_name,Dish_group_description,Dish_group_image,Food_description,Food_image,Food_ingredients,Food_preparation_cooking_serves_makes,Time
1,CEREALS AND CEREAL PRODUCTS,1001,"Amaranth, whole grain, dry, raw",1,1520,360,10,14.7,5.6,59.2,7.5,3.1,162,9.5,270,397,413,3,2.5,0.021,0,0,0,0,70,210,500,82,82,0,1000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1002,"Amaranth, whole grain, flour",1,1540,365,10.2,13.8,6.3,59.6,7.1,3,161,8.9,259,405,461,3,2.7,0.02,0,0,0,1,80,150,700,0,0,0,1000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1003,"Biscuit, Savoury",1,2060,492,4.5,6.6,24.9,58.9,3.3,1.9,38,1.4,27,177,161,637,0.83,0.015,8,10,7,15,160,60,1300,21,21,0,3000,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1004,"Biscuit, Sweet",1,1930,460,4.3,6.1,17.2,69.3,2.1,1.1,45,1.4,19,98,158,298,0.6,0.01,40,42,38.5,20,90,30,700,23,23,0.1,7000,12,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1005,"Bread, Brown",1,1040,245,36,8,1.5,46.9,5.9,1.7,56,2.6,58,134,191,446,1.3,0.013,0,0,0,0,220,10,3400,37,37,0.05,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1006,"Bread, Sweet",1,1540,368,23.5,8.3,14.4,50.6,1.5,1.8,80,1.9,18,147,227,369,0.8,0.02,74,77,70,43,200,160,2300,33,33,0.23,600,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1007,"Bread, White",1,1050,249,36.9,7.7,1.9,48.8,3.1,1.7,37,1.7,27,95,120,466,0.8,0.01,0,0,0,0,160,60,3800,28,28,0.07,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1008,"Breakfast cereal, flakes of corn, fortified (iron, thiamine, riboflavin, niacin and folate)",1,1580,372,3.5,7.5,0.7,82.6,2.95,2.8,3.2,10.2,13,45,110,1090,0.2,0.0055,11,21,0,128,1000,1500,17700,422,4,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1009,"Breakfast cereal, flakes of corn",1,1580,373,3.5,7.5,0.7,83,2.6,2.8,3,0.4,13,45,110,1090,0.2,0.009,10,21,0,125,0,80,800,4,4,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1010,"Breakfast cereal, wheat biscuits, Weetabix type",1,1550,366,3.8,11.5,1.9,70.7,9.9,2.1,30,7.6,125,308,392,360,2,0.0051,0,0,0,0,1000,1240,11000,53,53,0,0,0,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1011,"Buns, Currant",1,1290,306,29,7,6.8,52.8,2.9,1.5,90,2.5,27,100,210,100,0.6,0.009,0,0,0,1,200,30,2100,12,12,0,0,1.5,,,,,,,,,
1,CEREALS AND CEREAL PRODUCTS,1012,"Cake or cupcake, plain butter cake, commercial",1,1530,363,25.9,7.1,15.3,48.8,1.1,1.9,63,1,14,310,110,480,0.5,0.007,50,53,46,42.5,60,140,700,9,8.5,0.15,0,82.5,,,,,,,,,
